team1,team2,team1-goals,team2-goals
Mississippi Valley State,Grand Canyon,44,91
Saint Francis U,Ohio,75,78
Radford,West Virginia,51,67
Drexel,Princeton,79,81
San Diego State,Michigan,58,72
UAPB,Baylor,54,99
Winthrop,Coastal Carolina,64,74
Norfolk State,Hampton,57,58
LSU-Shreveport,North Texas,35,73
Ohio State,Penn State,76,64
Northwestern,Maryland,67,61
North Carolina,Georgia Tech,79,62
Xavier,Oklahoma State,77,71
Georgetown,South Carolina,67,80
St. Thomas (MN),Drake,64,74
Arizona State,Oregon,69,67
Arizona,Oregon State,90,65
Hartford,St. Francis Brooklyn,68,55
Cal Lutheran,UC Santa Barbara,66,87
Illinois,Iowa,87,83
Delaware State,Liberty,60,96
Texas Southern,Florida,69,54
Alcorn State,Houston,45,77
Presbyterian,Morehead State,66,71
Columbia,Colgate,61,89
Michigan,Nebraska,102,67
Virginia,James Madison,49,52
Villanova,Syracuse,67,53
Butler,Oklahoma,66,62
Eastern Illinois,Missouri,44,72
Charlotte,Arkansas,66,86
Texas Tech,Tennessee,57,52
UTEP,Kansas,52,78
Furman,Winthrop,80,85
Roosevelt,Loyola Chicago,49,88
Eastern Kentucky,USC,68,80
Indiana,Wisconsin,59,64
Drake,Omaha,78,70
Jacksonville State,VCU,52,66
North Florida,Florida,55,85
Cornell,Virginia Tech,60,93
Connecticut,West Virginia,53,56
UMBC,Georgetown,71,100
Utah State,BYU,71,82
Loyola Maryland,St. Bonaventure,71,84
Cal State Fullerton,San Diego State,56,66
Eastern Washington,Colorado,57,60
Towson,Ohio State,74,85
Purdue,Rutgers,68,70
Colgate,Pittsburgh,68,71
Texas,Seton Hall,60,64
Grand Canyon,Arizona State,62,67
Merrimack College,Gonzaga,55,80
Iowa,Iowa State,53,73
Loyola Chicago,Vanderbilt,69,58
Milwaukee,Colorado,54,65
Wisconsin,Ohio State,55,73
Minnesota,Michigan,75,65
Eastern Washington,North Dakota,76,60
Liberty,Stephen F. Austin,51,63
Carver College,Winthrop,52,83
Syracuse,Georgetown,75,79
Elon,North Carolina,63,80
Drake,Clemson,80,90
LSU,Georgia Tech,69,53
UCLA,Marquette,67,56
VCU,Old Dominion,75,66
Massachusetts,North Texas,57,66
Norfolk State,Wichita State,58,71
UNCG,Tennessee,36,76
Missouri,Kansas,65,102
Arkansas,Oklahoma,66,88
Houston,Alabama,82,83
St. Bonaventure,Connecticut,64,74
New Orleans,Utah State,50,82
BYU,Creighton,71,83
Oral Roberts,Missouri State,60,69
UC Santa Barbara,Saint Mary's,59,80
Drexel,Abilene Christian,56,73
Ottawa (AZ),Grand Canyon,53,81
Hartford,UNLV,78,95
Arizona,Illinois,83,79
Morehead State,East Tennessee State,75,82
Ohio,Stetson,55,45
Virginia Tech,Dayton,57,62
Iona,Yale,91,77
Florida,Maryland,68,70
Purdue,North Carolina State,82,72
Florida State,South Carolina,65,66
Villanova,Baylor,36,57
Rutgers,Seton Hall,63,77
Colgate,St. John's,64,82
Oregon,Stanford,69,72
Kent State,West Virginia,50,63
Long Beach State,USC,62,73
Cleveland State,Oklahoma State,93,98
Carver College,Liberty,36,95
Furman,North Carolina,61,74
Miami (OH),Clemson,76,89
Arizona State,Creighton,58,57
USC Upstate,Tennessee,52,96
Alabama,Memphis,78,92
Louisiana-Lafayette,Houston,56,71
Northwestern State,LSU,49,89
Coppin State,Drexel,69,76
Texas Southern,Texas-Rio Grande Valley,70,60
UC Santa Barbara,Pacific,71,80
Saint Francis U,Hartford,81,66
Arkansas State,Texas Tech,62,75
UAPB,Texas,31,63
UNCG,Towson,64,74
Sam Houston State,North Texas,55,65
UC Davis,Oregon State,71,64
Lipscomb,Florida State,60,97
Morehead State,Xavier,63,86
Howard,Georgetown,73,85
Florida Atlantic,VCU,46,66
Portland,Oregon,71,96
Marshall,Ohio,65,75
Utah State,Weber State,95,80
Winthrop,Elon,61,63
Nicholls,Wisconsin,68,71
Multnomah,Eastern Washington,56,95
Bakersfield,Abilene Christian,59,69
UC Irvine,USC,61,66
UT Arlington,Oral Roberts,62,71
